"Measure","Time","Time_type","Geography","Geography_type","Geography_code","Ethnicity","Ethnicity_type","Age_Group","Value1","Value1_type","Value2","Value2_type","Numerator","Denominator"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Indian","ONS 2021 19+1","Age 85 and over","1.352232769","% of Total Age Group Population","1.006662254","% of Total Ethnic Group Population","18555","1372175"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Indian","ONS 2021 19+1","Age 85 and over","0.121966093","% of Total Age Group Population","0.47517225","% of Total Ethnic Group Population","100","81990"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Indian","ONS 2021 19+1","Age 85 and over","1.837846973","% of Total Age Group Population","0.94637224","% of Total Ethnic Group Population","2175","118345"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Indian","ONS 2021 19+1","Age 85 and over","0.57769394","% of Total Age Group Population","0.715615758","% of Total Ethnic Group Population","980","169640"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Indian","ONS 2021 19+1","Age 85 and over","6.527595748","% of Total Age Group Population","1.366053606","% of Total Ethnic Group Population","8965","137340"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Indian","ONS 2021 19+1","Age 85 and over","0.190781441","% of Total Age Group Population","0.567794685","% of Total Ethnic Group Population","125","65520"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Indian","ONS 2021 19+1","Age 85 and over","0.542999706","% of Total Age Group Population","0.658831909","% of Total Ethnic Group Population","925","170350"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Indian","ONS 2021 19+1","Age 85 and over","0.71554229","% of Total Age Group Population","0.749358284","% of Total Ethnic Group Population","1810","252955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Indian","ONS 2021 19+1","Age 85 and over","0.150666629","% of Total Age Group Population","0.450527032","% of Total Ethnic Group Population","265","175885"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Indian","ONS 2021 19+1","Age 85 and over","1.750502333","% of Total Age Group Population","0.931058218","% of Total Ethnic Group Population","2570","146815"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Indian","ONS 2021 19+1","Age 85 and over","0.46714774","% of Total Age Group Population","0.756690249","% of Total Ethnic Group Population","615","131650"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Pakistani","ONS 2021 19+1","Age 85 and over","0.603200572","% of Total Age Group Population","0.552642766","% of Total Ethnic Group Population","8775","1454740"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Pakistani","ONS 2021 19+1","Age 85 and over","0.634394301","% of Total Age Group Population","0.554352671","% of Total Ethnic Group Population","8705","1372175"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Pakistani","ONS 2021 19+1","Age 85 and over","0.060983047","% of Total Age Group Population","0.285632676","% of Total Ethnic Group Population","50","81990"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Pakistani","ONS 2021 19+1","Age 85 and over","0.380244201","% of Total Age Group Population","0.633668943","% of Total Ethnic Group Population","450","118345"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Pakistani","ONS 2021 19+1","Age 85 and over","0.265267626","% of Total Age Group Population","0.452579704","% of Total Ethnic Group Population","450","169640"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Pakistani","ONS 2021 19+1","Age 85 and over","1.135867191","% of Total Age Group Population","0.536903512","% of Total Ethnic Group Population","1560","137340"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Pakistani","ONS 2021 19+1","Age 85 and over","0.221306471","% of Total Age Group Population","0.531817348","% of Total Ethnic Group Population","145","65520"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Pakistani","ONS 2021 19+1","Age 85 and over","0.683886117","% of Total Age Group Population","0.38374755","% of Total Ethnic Group Population","1165","170350"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Pakistani","ONS 2021 19+1","Age 85 and over","0.286612243","% of Total Age Group Population","0.499019169","% of Total Ethnic Group Population","725","252955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Pakistani","ONS 2021 19+1","Age 85 and over","0.028427666","% of Total Age Group Population","0.286779467","% of Total Ethnic Group Population","50","175885"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Pakistani","ONS 2021 19+1","Age 85 and over","1.518918367","% of Total Age Group Population","0.69868722","% of Total Ethnic Group Population","2230","146815"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Pakistani","ONS 2021 19+1","Age 85 and over","1.340676035","% of Total Age Group Population","0.595428861","% of Total Ethnic Group Population","1765","131650"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Any Other Asian Background","ONS 2021 19+1","Age 85 and over","0.307958811","% of Total Age Group Population","0.460523949","% of Total Ethnic Group Population","4480","1454740"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Any Other Asian Background","ONS 2021 19+1","Age 85 and over","0.322845118","% of Total Age Group Population","0.465275043","% of Total Ethnic Group Population","4430","1372175"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Any Other Asian Background","ONS 2021 19+1","Age 85 and over","c","% of Total Age Group Population","c","% of Total Ethnic Group Population","c","81990"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Any Other Asian Background","ONS 2021 19+1","Age 85 and over","0.092948583","% of Total Age Group Population","0.237914999","% of Total Ethnic Group Population","110","118345"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Any Other Asian Background","ONS 2021 19+1","Age 85 and over","0.159160575","% of Total Age Group Population","0.33632287","% of Total Ethnic Group Population","270","169640"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Any Other Asian Background","ONS 2021 19+1","Age 85 and over","1.751128586","% of Total Age Group Population","0.599354541","% of Total Ethnic Group Population","2405","137340"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Any Other Asian Background","ONS 2021 19+1","Age 85 and over","0.030525031","% of Total Age Group Population","0.111669458","% of Total Ethnic Group Population","20","65520"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Any Other Asian Background","ONS 2021 19+1","Age 85 and over","0.082183739","% of Total Age Group Population","0.21976297","% of Total Ethnic Group Population","140","170350"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Any Other Asian Background","ONS 2021 19+1","Age 85 and over","0.225336522","% of Total Age Group Population","0.357422794","% of Total Ethnic Group Population","570","252955"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Any Other Asian Background","ONS 2021 19+1","Age 85 and over","0.056855332","% of Total Age Group Population","0.226449275","% of Total Ethnic Group Population","100","175885"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Any Other Asian Background","ONS 2021 19+1","Age 85 and over","0.286074311","% of Total Age Group Population","0.476082521","% of Total Ethnic Group Population","420","146815"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Any Other Asian Background","ONS 2021 19+1","Age 85 and over","0.117736422","% of Total Age Group Population","0.305991511","% of Total Ethnic Group Population","155","131650"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Black","ONS 2021 5+1","Age 85 and over","1.435308028","% of Total Age Group Population","0.866648957","% of Total Ethnic Group Population","20880","1454740"
